path,folder,namefull,mouse,session,nTrial,mvtDir,actType,stimType,sessionNum,group,Area,MajorAxisLength,MinorAxisLength,Orientation,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity,WeightedArea,ComponentId,FrameId,FrameTime,FramePeak
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,7,3.23669437485075,3.0282120182066,0,137.985463781058,275.406831604259,0.0301571278709493,0.211099895096645,4,23,0.1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,1,1.15470053837925,1.15470053837925,0,166,226,0.000268134931315118,0.000268134931315118,5,23,0.1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,1724,60.1113312790199,37.862420412449,-19.3692665836821,156.7657701621,232.164504388928,0.29294938889591,505.04474645655,1,24,0.15,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,474,36.6125197465735,19.0198679359306,-58.5533559947427,137.436062312323,268.854289192251,0.201495951843943,95.5090811740291,2,24,0.15,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,3820,92.5146981191663,65.198185732964,78.6550035748132,150.494568362794,240.025008990195,0.312273808773891,1192.88594951626,1,25,0.2,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,4803,104.424056240328,71.1661106039847,82.3626062104191,149.720983698331,241.992286418048,0.336231896330463,1614.92179807521,1,26,0.25,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,7,3.87912606750787,2.42997158517582,-45,157.180772824897,317.992769723833,0.00598875995842586,0.041921319708981,2,26,0.25,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,5385,118.059156247614,72.4272573130176,85.9037658151735,149.509813075599,243.69374152087,0.345189126339087,1858.84344533598,1,27,0.3,1
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,5450,119.881742277517,71.8325307648812,87.0657262652432,149.38218723511,244.798879173508,0.355205299661083,1935.8688831529,1,28,0.35,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,5118,116.516623109072,69.7696611206208,87.8004165200308,149.221921139709,244.92264106633,0.360984861191334,1847.52051957725,1,29,0.4,0
